,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
,,,BL,BL,CA,CA,BL,BL,TP,TP,BL,BL,NA,NA,BL,BR,BL,MA,BL,NA,BL,PL,BL,TP,MA,MA,CA,CA
,,,A,D,A,D,A,D,A,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,K124,K134,K124,K134
COL,COLUMBINE SQUARE,7,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
LM1,LAMBTON COURT,7,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
NO1,NORTHMEAD MALL,7,,,,,,,,,,,,,1,1,,,,,,,,,,,,
LQ1,LAKESIDE SQUARE,7,,,,,,,,,,,,,1,1,,,,,,,,,,,,
SC2,SANDTON COMBO,8,1,1,1,1,2,1,2,1,2,1,1,1,3,3,1,1,3,3,3,3,3,3,1,1,1,1
SC1,SANDTON SHOES NEW,8,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,3,3,2,2,1,1,1,1
PF2,PAN AFRICAN SHOES,8,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
DL1,DIEPSLOOT,8,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
RQ1,RANDBURG SQUARE,8,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
FW1,FOURWAYS MALL,8,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
CMS,CAMPUS SQUARE,8,1,,,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
HW1,SHOPRITE HILBROW,8,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
CA1,CARLTON CENTRE,8,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
KL1,KILLARNEY MALL,8,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,,,,
BF1,BALFOUR PARK,8,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
AP1,ALEX PLAZA,8,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
JC1,THE BROOKLYN COMMISSIONER,8,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
WE1,THE WEDGE,8,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
BX1,BRIXTON (PROTEA CENTRE),8,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
FC1,FOURWAYS CROSSING,8,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
GK2,GOLDEN WALK 2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
JHB,JHB CBD,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
GK1,GOLDEN WALK,9,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
PT1,PARK CENTRAL,9,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
TW1,TWIST STREET,9,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
RY1,ROYAL PLACE,9,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
RO1,ROSETENVILLE,9,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
MEA,MEADOWDALE,9,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
MAN,MANSION,9,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
NN1,NEWLANDS,9,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
NWG,NEWGATE SHOPPING CENTRE,9,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
PJ1,PLEIN STREET,9,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
MC1,MENLYN COMBO,10,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
MA1,MAMELODI CROSSING SHOES,10,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
SQ1,STATION SQUARE,10,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
MA2,MAMELODI CROSSING COMBO,10,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
